Model,MOTA,MOTP,IDF1,IDs,FM,Precision,Recall
dbra_bytetrack,48.5%,0.205,66.7%,429,2959,79.5%,65.6%
dbra_botsort,48.3%,0.202,67.4%,347,3023,79.1%,65.9%
